enhancer_constituent_id,chrom,start,end,Class,Esrrb,Klf4,4-Oct,Sox2,Nanog,OSN,Stat3,Smad3,Tcf3,Prdm14,Tcfcp2I1,Nr5a2,Med1,H3K27ac,H3K4me1,H3K4me3,H3K9me3,Med12,p300,Pol2,CBP,Lsd1,Brg1,Brd4,Smc1,Nipbl,Mi2b,CHD7,HDAC2,HDAC,Dnase,Tbx3,Smad1,Kap1,Ronin,Zfx,CTCF,Tfe3,cMyc,CDK8,CDK9,pct_AT,pct_GC,phastCon_verti,phastCon_placental,phasCong_Average,Ell3,TET1,Aff4,Ring1B,CapH2,REST,Utx,Ell2,SA2,TBP,CTR9,Spt5,BioYY1,SA1,Rad21,MCAF1,SetDB1,Smc3,TET2,Wdr5,NcoA3,Atrx
INT_STITCHED_4034_1,chr8,37643862,37644691,SE,0.6046,0.5611,1.4015,0.7167,1.3853,1.167833333,0.358,1.3773,1.0679,15.8648,15.8669,0.1704,1.6817,1.2499,1.782,0.5743,0,2.2034,1.2591,0.4143,1.9666,1.6267,0.8287,1.9393,0.8125,0.6398,1.3966,1.5122,1.1072,0.689,1.276,0.1497,0.5275,0.2739,0.7045,0.4038,0,0.0312,0.2272,1.2471,0.917,0.542823,0.457177,0.400351,0.4066,0.4034755,0.9667,0.3215,0.5839,0.7479,1.259,0.2904,0.3436,0,0.8087,0.5894,0.5178,0.4383,2.112,1.036,0.2667,0.4174,0.351,0.5436,0.065,0.5041,0.5175,0
INT_STITCHED_4034_2,chr8,37656605,37657504,SE,0.6378,0.0885,2.6226,2.3749,0.6025,1.866666667,0.2578,2.9621,0.6704,0.3147,0.683,0.0984,3.46,1.4593,1.2615,0.2361,0,4.8115,4.2752,0.8618,5.103,2.0962,0.2267,4.3575,0.5682,0.8886,1.6868,2.3528,0.8634,0.3739,1.2017,0.0484,0,0.1557,0.3552,0,0,0.0222,0,4.407,2.4265,0.558398,0.441602,0.0654421,0.0654421,0.0654421,1.441,0.8483,1.4455,0,0.7005,0.3333,0.4635,0,0.055,0.9412,0.3097,0.0527,1.322,0.3833,0.508,0.1079,0.0763,0,0,0,0,0
INT_STITCHED_4034_3,chr8,37666548,37667454,SE,5.237,0.712,0.8465,0.9958,1.6392,1.1605,0,2.0245,0.7554,0.8683,0.2684,0.1213,4.6083,2.8169,0.6301,1.5757,0,2.3763,4.1443,1.0027,3.8001,2.5197,0.6841,2.7813,1.1869,0.9624,1.4275,1.2281,1.8723,1.4642,0.6281,0.058,0.2652,0.1728,0.3002,0.0106,0,0,0,2.7305,1.5269,0.519868,0.480132,0.0127532,0.0238831,0.01831815,1.1854,1.0626,0.6116,0.3916,0.9359,0.3865,0.0966,0,0.6374,0.8636,0.5942,0.494,2.3176,0.651,0.1922,0.3605,0.4136,0.2412,0.7463,0.2641,0.4603,0.0907
INT_STITCHED_4034_4,chr8,37669893,37670458,SE,0,0.35,1.1793,0.8531,2.9227,1.6517,0,0.2844,0.3011,2.6958,0.1608,0.055,0.6094,1.1164,0.7889,0.6294,0.3886,0.7442,0.4607,0.0064,0.631,0.7358,0.3603,0.5841,0.0842,0,0.5134,0.8602,0.7359,0.2837,0.1077,0.2892,0.2111,0.2286,0.0123,0,0,0,0.1098,1.1662,0.5164,0.580531,0.419469,0.0351705,0.0351705,0.0351705,0.185,0.2275,0.1664,0.1754,0.7332,0.5286,0,0,0,0.2149,0.2588,0.1907,1.7776,0.0748,0,0.1585,0.1827,0.1522,0.1904,0.2239,0,0.2647
INT_STITCHED_4034_5,chr8,37671010,37671979,SE,8.0427,0,0.7071,0.7232,0.813,0.747766667,0,0.7163,0.6169,1.7266,0.4395,1.0142,3.0257,1.1664,0.4437,1.0516,0,2.9983,4.2548,0.3446,3.1617,1.7923,0.2302,2.204,0.6514,0.8693,0.6724,0.9641,0.5267,0.6739,0.6722,0.3892,0.5436,0.119,0.2231,0,0,0,0,2.3583,1.2677,0.545924,0.454076,0.157302,0.157302,0.157302,0.2111,0.2856,1.5553,0.3365,1.1151,0,0.4522,0,0.3764,0.9207,0.568,0.2963,1.2856,0.0513,0.2276,0.1295,0.1547,0,0.0744,0.0794,0.2556,0.2158
INT_STITCHED_4046_0,chr8,44405736,44406755,SE,9.3689,4.4312,1.3996,1.8887,4.3632,2.5505,0.9813,3.5104,1.0187,4.7203,0.5791,1.2542,8.0331,0.8386,0.2794,0.262,0.6825,5.9446,0.6863,1.3378,7.2029,1.8333,1.7618,2.7104,0.7058,0.8788,0.7735,2.6464,0.9069,0.7481,4.7586,0.1828,2.1623,0.0721,0.4924,0.0557,0,0,0,4.7143,1.4523,0.517174,0.482826,0.103605,0.103605,0.103605,0.7853,0.5991,1.4154,0.5912,1.2946,0.9184,0.8014,0,0.7332,1.2099,0.3592,0.3695,0.1715,0.341,0.0948,0.1909,0.2472,0.5507,0.138,0.251,0.1962,0.0448
INT_STITCHED_4116_0,chr8,74834685,74835484,SE,0.7112,0.7799,3.1118,1.9168,1.8677,2.298766667,1.7924,2.7256,1.558,2.0499,0.9841,0.147,3.9697,3.9712,0.1351,0,0,8.3864,8.1816,0.9141,4.547,3.3394,0.7882,3.7323,1.1923,1.1688,1.4501,1.6104,0.7866,0.6321,0.5706,0.2652,0.4836,0.1174,0.866,0.5593,0,0.3363,0,2.0077,2.1287,0.478098,0.521902,0.0573196,0.0573196,0.0573196,1.5297,1.5803,1.1688,0.1428,1.8445,1.2275,0.3984,0,0.2412,0.7919,0.2743,0.8101,0,0.0567,0.7187,0.0655,0.1293,0.1217,0.6407,0,0,0.1622
INT_STITCHED_4116_1,chr8,74836614,74837210,SE,0.2393,0.3141,0.6138,0.5901,1.5159,0.9066,0.676,0.4066,1.697,4.8535,0.3046,0,0.892,1.8809,1.8529,0.4439,0,1.2708,1.1863,0.4887,3.2063,1.0959,0.205,1.2487,0.3024,0.3371,1.1988,0.2967,0.8966,0.1934,0.2224,0,0.269,0.2769,0.3768,0.9232,0.0761,0,0.2808,0.7687,0.8255,0.501678,0.498322,0.0343398,0.0343398,0.0343398,1.0283,0.2039,0,0.3439,0.226,0,0.1963,0,0.1811,0.2252,0.1545,0.3819,0.3645,0.3962,0,0.211,0.4199,0.3507,0.2143,0.2071,0.3926,0
INT_STITCHED_4116_2,chr8,74839580,74840663,SE,0.697,0.4418,5.9797,6.9527,4.738,5.890133333,0,3.6604,10.1445,2.3971,0.4107,0.4624,3.8121,2.3705,1.1892,0.1064,0,5.1353,7.6243,1.3876,4.0731,2.6444,1.207,3.4033,0.574,1.2039,1.8866,1.8164,1.0008,0.4897,2.7094,0.4149,0.3655,0.2039,0.4291,1.044,0,0,0,2.427,1.5223,0.517082,0.482918,0.170269,0.120476,0.1453725,1.4185,0.5796,1.3211,0.2058,3.0163,0.8931,0.6533,0,0.8061,2.5881,0.2262,0.0754,0.0407,0.0193,0.3055,0,0,0,0.0381,0,0.0555,0.3428
INT_STITCHED_4163_0,chr8,87174072,87174643,SE,26.9511,4.542,1.4035,1.7817,3.6707,2.2853,6.5647,4.6306,0.9914,42.7652,3.5989,1.6641,22.9519,3.21,0.6676,0.2236,0,11.0003,17.5123,2.9171,13.7223,5.5838,2.7854,7.1378,1.4283,2.1571,2.0364,2.074,3.0773,1.443,3.9244,0.4694,1.3229,0.2162,1.2457,2.6368,0,0.4884,0.5132,6.4693,3.5852,0.45359,0.54641,0.166101,0.160368,0.1632345,0.9373,2.867,4.2808,1.2805,4.2732,1.6657,0.2466,0,1.4031,2.3404,0.4803,1.3508,0.6907,0.6673,0.1661,0.1266,0.276,0.2623,0.1323,0.0949,0.8104,1.1814
INT_STITCHED_4167_0,chr8,87996475,87997654,SE,4.0788,0.6728,2.7421,3.1401,4.6665,3.516233333,0.716,3.6498,1.2171,3.6171,4.1113,1.8788,8.0442,1.2842,0.3539,0.5262,0,4.0775,4.2916,3.2813,4.0753,3.3259,1.2255,2.3829,0.4992,1.4486,1.6706,1.7555,1.1871,0.8747,3.5748,0.3661,0.0374,0.2547,0.4915,0,0,0.0773,0,3.4481,2.2163,0.49788,0.50212,0.163784,0.163788,0.163786,0.9706,1.9253,0.4054,0.1158,0.2046,0.1769,0.4872,0,1.1295,0.1319,0.3697,0.7393,0,0.4186,0.6705,0,0,0.1409,0,0,0,0.1163
INT_STITCHED_4179_0,chr8,91514813,91516692,SE,1.3983,1.8658,2.0306,2.2748,3.7664,2.6906,1.2929,2.5714,0.9372,1.2885,0.5605,0.1993,4.1005,1.6094,0.4671,0.3872,0,3.8107,5.1042,0.0305,3.3402,2.2265,1.2304,3.6282,0.5809,0.7065,1.461,1.7099,0.8913,0.7074,1.2119,0.2981,0.4909,0.1779,0.3722,0.5351,0,0.0052,0.1621,2.6625,1.1042,0.517296,0.482704,0.266224,0.274032,0.270128,0.8327,0.9324,0.9472,0.4613,0.8634,0.5124,0.8967,0,0.519,0.4649,0.73,0.3865,0.3013,0.0538,0.0977,0.379,0.4965,0.2623,0,0.2946,0.253,0.2261
INT_STITCHED_4179_1,chr8,91526938,91528249,SE,6.5571,1.1302,4.9082,5.3202,9.3157,6.5147,3.8694,6.5211,2.1268,7.344,2.6459,1.9964,9.1895,0.8293,0.401,0.4127,0,9.0964,7.4098,1.3923,8.509,3.5254,1.279,8.1207,0.8856,1.4169,1.9742,2.7075,1.1991,1.2827,2.956,0.8475,1.6548,0.1904,0.4276,0.5965,0,0.0399,0,8.1359,2.4067,0.56598,0.43402,0.449613,0.449261,0.449437,1.3565,1.0523,3.8522,0.5857,2.0102,1.3356,1.4184,0,1.0714,1.623,1.0388,0.5515,0.3178,0.3152,0.2088,0.6942,0.7472,0.3042,0.4683,0.539,0.3074,0.397
INT_STITCHED_4179_2,chr8,91530368,91530970,SE,0.4593,0.8028,0.7677,0.8637,0.9746,0.868666667,0.3371,1.5122,3.17,1.771,0.5142,0,5.0307,5.6261,0.3798,3.2381,0.3103,3.8565,3.8915,1.5964,0.7434,2.3309,1.2821,4.8311,1.2369,0.8012,1.109,1.1676,3.1324,0.979,0.3835,0.2196,0.1491,0.1776,0.8943,0.9682,0.1794,0,0.0317,5.0039,1.4749,0.468439,0.531561,0.84431,0.856157,0.8502335,0.8457,5.5847,0.2823,0.5384,2.4058,0.7595,0.7804,0,0.3768,0.6977,0.9491,1.2401,1.1952,0.5323,0.1468,0.6597,0.5715,0.1387,0.8356,0.5768,0.466,0.3672
INT_STITCHED_4179_3,chr8,91539286,91540176,SE,2.8839,2.1177,0.7629,1.1258,2.636,1.508233333,0.2315,1.6281,0.5384,8.8936,1.208,0.4799,3.7003,1.1804,0.6804,0.9214,0.1796,3.6413,6.2204,2.0745,4.1003,2.1119,1.6394,6.5268,0.9171,0.7682,1.1847,1.8337,1.465,1.2621,1.9085,0.3082,0.9148,0.1987,0.5009,0.4168,0,0,0.1622,3.101,1.2993,0.57191,0.42809,0.0784354,0.0784374,0.0784364,1.4704,0.6304,2.1562,0.6273,1.4722,0.6462,0.7431,0,1.2866,1.0567,0.5142,0.6033,0.5279,0.4664,1.0888,0.428,0.4095,0.1713,0,0.2342,0.2387,0.289
INT_STITCHED_4190_0,chr8,93351924,93352665,SE,1.307,2.4438,2.7876,1.6904,1.0893,1.855766667,0.3973,4.0727,0.9054,40.031,16.9101,0.1332,7.4454,7.3857,0.4011,3.509,0,7.9117,12.9613,3.7346,6.6507,4.5312,1.4928,5.4373,3.1735,1.6043,2.2197,1.9732,2.6202,1.8943,3.3044,0.3068,0.1191,0.1664,0.7588,1.3161,2.5111,0.156,0.5774,4.3205,2.0935,0.439946,0.560054,0.153166,0.153166,0.153166,1.3738,3.5436,0.9206,1.1349,0.5698,1.6493,1.2574,0,0.6551,0.647,4.4201,1.3282,0.6628,1.0226,2.1329,5.9118,3.6639,0.1928,0.2012,1.4128,0.8159,0.3578
INT_STITCHED_4190_1,chr8,93354428,93355292,SE,0.4029,0,1.7808,2.3811,1.8734,2.011766667,0,1.0742,0.4594,0.9811,0,0,1.9341,0.3833,1.0925,0.3796,0.0158,2.3352,5.5727,0.4615,1.6013,1.5577,0.2519,1.5238,0.5507,0.6934,1.0405,1.0575,0.6588,0.6295,0.7164,0.0757,0,0.1945,0.1008,0.0688,0,0.2317,0.0482,1.6365,0.9395,0.565972,0.434028,0.034587,0.034588,0.0345875,0.7426,0.8937,0.4237,0.0467,0.1456,0.8711,0.4713,0,0,0.1321,0.3853,0.983,0.3869,0.1308,0.0543,0.3285,0.36,0,0,0.2276,0.0528,0.0572
INT_STITCHED_4546_0,chr9,56382386,56383314,SE,6.2367,1.9085,0.8083,0.8594,1.6177,1.095133333,0.2295,0.9265,0.1692,3.151,1.1699,0.3657,2.3232,3.1102,0.2804,1.0416,0,1.9294,2.0143,1.0772,4.6405,2.3381,1.2355,1.6652,0.8104,0.3506,1.11,1.0636,0.6372,0.4782,2.5826,0.0369,0,0.1021,0.2814,0.4177,1.9749,0.1648,0,1.833,1.4294,0.482759,0.517241,0.0923368,0.0802126,0.0862747,0.7434,2.3887,0,0.6013,0.1605,0.1493,0.0983,0,0.4146,0.3294,1.0643,0.8218,0.2761,0.0245,0.2417,0.3779,0.5655,0.1127,0.356,0.2068,0.091,0.265
INT_STITCHED_4546_1,chr9,56395075,56395769,SE,2.2363,1.1745,1.752,0.9656,1.0332,1.250266667,0.9219,2.4862,0.785,1.0714,1.3404,0,3.9853,3.0354,0.6365,0,0.1229,3.2505,7.1672,0.3818,3.7696,2.3543,1.0699,2.5606,0.7832,0.6594,1.3565,1.6332,0.7468,0.5085,0.9513,0,0.2525,0.3552,0.071,1.6899,0,0,0,1.3854,2.6011,0.471182,0.528818,0.267649,0.26765,0.2676495,1.6079,0.9354,0.2146,0.5339,0.5002,0.7696,0.7124,0,0.7876,0.4227,0.4674,0.4946,0,0,0,0.2944,0.3941,0.3394,0.09,0.1807,0.4346,0.5715
INT_STITCHED_4555_0,chr9,58119837,58120421,SE,4.2467,0.6621,1.0605,1.0042,0.8396,0.9681,0.2054,1.8567,0.1116,0.0982,2.025,0.6672,3.0444,4.0336,1.2999,0,0,2.8427,2.5701,0.8646,3.3778,1.3161,1.239,3.0149,0.3734,0.5766,0.9651,1.5124,0.9462,0.2315,0.5694,0.1077,0,0.0776,0.2269,0.4433,0,0,0,2.2065,1.9743,0.491438,0.508562,0.0555303,0.0555316,0.05553095,0.4079,0.2729,0.1177,0.1499,1.0686,0.0892,0.3711,0,0.6916,0.6062,0.2146,0.3474,0.0927,0.3895,0,0.1698,0.2074,0.4545,0.009,0.1901,0.2134,0.0328
INT_STITCHED_4555_1,chr9,58121627,58123475,SE,1.7849,0.4936,1.0867,0.9423,1.3534,1.127466667,0.0798,0.901,0.3806,0.4176,1.3099,0.749,6.5811,3.0253,1.5689,0.494,0,4.784,3.2883,2.9582,3.2285,1.6428,0.7734,5.5461,0.2502,0.4543,0.9701,1.5488,0.6985,0.6252,1.9819,0.1824,0,0.1456,0.2075,0.8578,0,0.0365,0,3.6476,2.4248,0.520563,0.479437,0.0505125,0.0505125,0.0505125,0.608,1.4734,0.3095,0.2001,2.8269,0.0982,0.2755,0,0.4096,1.0568,0.0096,0.9459,1.1579,0.8748,0.2572,0,0.0256,0.1427,0.1873,0,0.0447,0.209
INT_STITCHED_4555_2,chr9,58126583,58128504,SE,3.3267,0.9411,2.9553,5.1235,7.0455,5.041433333,0.4188,4.1838,1.1682,1.4286,0.6314,1.2334,6.8033,1.9359,1.1936,0.5406,0.3297,8.0149,8.3421,3.9564,5.7307,2.9627,1.237,6.8225,0.6012,0.9831,1.2272,1.8584,0.9637,0.7782,4.8086,0.4658,0.5153,0.0739,0.0745,0.27,0.7376,0.1681,0.05,6.0607,2.8769,0.565851,0.434149,0.134658,0.134661,0.1346595,0.9894,0.9502,1.0861,0.3132,2.2247,0.4374,0.4665,0,1.059,1.005,1.3549,0.6989,0.8115,1.0939,0.446,0.8492,0.7224,0.4517,0.3057,0.3054,0.2157,0.1168
INT_STITCHED_4657_0,chr9,78207143,78208709,SE,2.8376,0.3055,1.9459,1.7682,2.567,2.0937,0,1.485,0.2904,0.9559,0.2043,1.0018,2.3067,1.0312,1.6811,0.0436,0,1.7496,1.2054,0.6135,1.5479,1.4414,0.5004,2.0118,0.3929,0.5977,1.4119,1.5477,0.43,0.3068,0.9339,0.1945,0.4191,0.22,0.1866,0.4675,0,0,0,1.6348,1.4525,0.547254,0.452746,0.10248,0.102481,0.1024805,0.6792,0.5311,0.4312,0.1063,0.5748,0.0098,0.1377,0,0.3095,0.2046,0.1524,0.2208,0,0.171,0.3532,0.138,0.1237,0.1785,0.2464,0.0078,0,0.1466
INT_STITCHED_4657_1,chr9,78212412,78213297,SE,1.5519,0.121,4.3859,2.3543,5.2745,4.0049,0,2.7719,1.1629,2.4554,0.9573,1.1425,6.2334,0.4329,0.6178,0.533,0,3.3738,4.1675,2.5265,3.2018,3.1758,1.0701,3.6988,0.7177,1.1105,1.3537,2.3763,1.6683,0.7155,1.3268,0.1216,0.4314,0.1169,0,0.0248,0,0,0,3.6636,2.4695,0.575141,0.424859,,0,0,1.3114,1.07,0.4522,0.1092,1.7638,0.1828,0.6599,0,0.1861,0.6095,0.2613,0.4892,1.4039,1.2286,0.3581,0.1237,0.2239,0.3093,0.2742,0.3673,0,0.2234
INT_STITCHED_4657_2,chr9,78213521,78214252,SE,0.9365,0.3636,0.6592,0.7249,0.4808,0.621633333,0.1937,0.8826,0,1.4334,0.234,0.5882,4.0797,1.0527,0.6369,1.5096,0.0432,2.0981,1.1946,14.198,1.3078,2.7115,0.2749,2.4168,0.2989,0.9191,0.7366,1.3743,0.3386,0,1.175,0.324,0.5871,0.1214,0.6567,0,0,0,0,2.6594,2.4519,0.55814,0.44186,0.0572667,0.0572681,0.0572674,0.6346,2.3192,0.0474,0.1371,3.8833,0,0.6425,0,1.0937,0.724,0.1338,0.462,5.9407,4.9355,0.1881,0,0.0737,0.3218,0,0.1011,0,1.1448
INT_STITCHED_4657_3,chr9,78215873,78217776,SE,1.9046,0.1634,2.6538,2.5447,2.1504,2.449633333,0.0797,2.2976,0.8889,0.8144,0.9491,0.3544,5.3582,1.0965,0.8243,0.6813,0,3.5684,3.1486,3.7721,1.9969,1.8315,0.7071,2.9318,0.2761,0.6585,1.0984,1.5414,0.4644,0.1063,1.6381,0.0853,0.1582,0.0994,0.0445,0.8291,0,0,0,3.3944,1.8161,0.544929,0.455071,0.0871835,0.0871844,0.08718395,0.7407,3.1486,0.4761,0.1782,1.7842,0.4468,0.4495,0,0.3124,0.916,0.4229,1.5239,0.534,1.0976,0,0.0671,0.1826,0.2475,0.2602,0.0836,0.0514,0.1841
INT_STITCHED_4657_4,chr9,78218962,78219758,SE,4.1608,0.6352,1.1288,0.7759,1.2099,1.0382,0.1889,1.354,0.1107,0.7118,0.3617,0.3206,7.6896,0.8417,0.7651,0,0,3.4126,3.9843,0.4247,3.4088,1.7638,0.4258,2.2438,0.3539,0.4645,0.797,0.5972,0.4073,0.5714,0.4034,0,0.4069,0.0948,0.1346,0.0781,0,0,0,2.4171,0.9608,0.550251,0.449749,0.134787,0.134787,0.134787,0.382,0.1593,0.3419,0.1265,0.3233,0.5236,0.2136,0,0.7852,0.2031,0.3122,0.584,0.3845,0.4316,0.0358,0.1169,0.1269,0.56,0,0.0905,0,0.0403
INT_STITCHED_4657_5,chr9,78221850,78223442,SE,1.6692,0.054,1.5844,1.6368,5.0897,2.7703,0,1.4724,1.6476,2.6682,0.3558,0.3914,3.539,3.056,1.1023,0.1957,0,2.6754,3.5549,2.5327,2.8374,1.8824,0.9946,2.5887,0.4303,0.4943,0.9369,1.5094,0.8158,0.5452,3.1118,0.0349,0,0.179,0.2796,0.761,0,0.3185,0,2.0021,1.2844,0.530779,0.469221,0.203559,0.203559,0.203559,0.4704,0.6507,0.4511,0.0526,1.2992,0.0117,0.2992,0,0.8536,0.777,0.0546,0.2742,0.7415,0.6387,0.4106,0,0,0.0426,0.0232,0,0,0.275
INT_STITCHED_4748_0,chr9,110849422,110851040,SE,4.6595,2.6266,2.474,2.3127,3.5735,2.786733333,4.5176,6.9414,2.9024,5.5484,2.418,1.6902,25.4999,3.2766,0.2831,1.532,0,14.5921,11.8695,10.1609,9.1516,3.6745,1.0864,7.8648,0.7178,1.5453,1.6223,3.4801,1.028,0.4686,4.4811,0.2369,1.3497,0.172,0.5122,0.4885,0.2905,0,0.1262,8.4308,3.9866,0.514215,0.485785,0.0522577,0.0522587,0.0522582,1.0519,2.1702,3.1292,0.839,5.6068,0.7159,0.7755,0,1.0644,2.8443,0.6162,1.1224,1.4546,2.839,0.6178,0.2326,0.3912,0.4423,0.6521,0.2896,0.2282,0.7017
INT_STITCHED_4748_1,chr9,110862607,110863371,SE,7.1627,1.1651,2.1268,1.0344,0.7599,1.307033333,0.494,2.4589,0.0624,1.0675,0.2091,1.1867,11.1649,3.5522,1.1671,0.6347,0.5392,4.8757,4.6223,2.2784,2.6127,2.9493,1.1313,4.109,0.4364,0.8966,0.7198,1.2877,0.9017,0.836,1.1822,0.3339,0.1279,0.1689,0.3888,0.968,0,0.0113,0.2223,3.0723,2.9941,0.498691,0.501309,0.140928,0.138506,0.139717,0.9254,2.3278,0.4321,0.5501,0.7353,0.524,0.2545,0,0.5153,0.2669,0.1988,1.3454,1.1236,0.5202,0.7461,0.0783,0.1752,0.4048,0,0.0955,0.2408,0.0483
INT_STITCHED_4766_0,chr9,114458126,114458729,SE,0,0,1.4757,1.0905,1.0966,1.220933333,0,0.1757,0.0525,1.4466,0.0345,0.2332,1.2616,0.8902,0.8523,0.6691,0,2.5569,5.0209,0,1.4803,2.0522,0.039,1.7934,0.3932,0.7035,0.1666,1.5371,0.8523,0.693,2.1989,0.3111,0,0.1041,0.2578,0,0,0.0509,0,1.3332,1.2701,0.514096,0.485904,0.192265,0.192265,0.192265,0.9118,0.5684,2.488,0.418,2.4144,0.1794,0.6388,0,1.1762,1.1356,0,0.2687,1.5249,0.1959,0,0,0,0,0,0,0.2948,0.5741
INT_STITCHED_4766_1,chr9,114466050,114466917,SE,3.1852,0.2234,1.7238,1.7861,2.6336,2.047833333,0.4886,1.35,1.6567,2.3667,1.3348,0.4248,1.935,2.1517,0.5158,2.4517,0.228,1.834,1.0002,1.2763,3.2527,1.9387,0.9576,1.8998,0.3188,0.5833,0.9198,1.717,1.0132,0.6987,1.5342,0.0692,0.4727,0.1665,0.1054,0.1808,0.1683,0.6384,0.1943,2.442,1.8441,0.558247,0.441753,0.0776282,0.0776294,0.0776288,0.585,3.4478,0.8237,0.9566,3.4906,0.5925,0.6487,0,0.4289,0.8994,0.5113,0.5938,1.6055,0.6365,0.9648,0.2357,0.3385,0.413,0.1685,0.4308,0,0.23
INT_STITCHED_4766_2,chr9,114473273,114474355,SE,0.4446,0.3733,1.0917,0.4353,1.5038,1.010266667,0.2969,0.7009,0.0478,0.8186,0,0.0267,1.9846,4.0982,0.0969,2.1968,0,2.7556,3.5997,3.1458,1.3166,1.2142,1.0558,1.2865,0.3767,0.537,0.201,1.7747,0.5499,0.2631,1.679,0.0538,0,0.1159,0.2688,0.264,0,0,0.1201,2.9205,0.7388,0.46488,0.53512,0.424199,0.442646,0.4334225,0.4118,3.1923,2.3181,0.3966,4.6317,0.3027,0.7303,0,0.788,1.3296,0,0.8611,0.1615,0.38,0.4358,0,0,0,0,0,0,0.2836
INT_STITCHED_4797_0,chr9,120585871,120586365,SE,0.8076,0,1.5854,0.9499,0.7668,1.1007,0,1.06,0.382,0,0.3824,0.0234,1.6507,0.5312,0.4587,0,0,3.4893,2.3607,0.4418,2.4894,1.1618,0,2.0023,0.1174,0.315,0.928,1.3616,0.9184,0.0585,0.542,0.2676,0.0217,0.1488,0,0,0,0.0829,0,0.9862,0.8745,0.576923,0.423077,0.285605,0.292057,0.288831,0.3559,1.8658,0.4278,0,0.361,1.4086,0.1659,0,0.5307,0.451,0.1552,0.1925,0.2268,0,0.2499,0,0.0427,0,0,0,0,0.1956
INT_STITCHED_4797_1,chr9,120588512,120589476,SE,1.7352,0.6286,0.748,0.8327,0.9656,0.848766667,0.9105,1.3471,0.5891,1.5277,26.4339,0.5464,3.38,1.0567,0.8041,0.3875,0,4.1937,6.4274,1.4642,3.7839,1.767,0.7699,1.1888,0.4107,0.7712,0.8778,1.4763,1.0322,0.5643,0.7532,0.3959,0.2253,0.1624,0.1332,0.4118,0,0.2052,0,2.0571,1.3412,0.51556,0.48444,,0,0,0.365,0.7643,0.7055,0.2545,0.9829,0.4563,0.3917,0,0.8714,0.5048,0.3782,0.6478,0.0973,0.1415,0,0.0683,0.1763,0,0.0399,0.0826,0.4663,0.0055
INT_STITCHED_4797_2,chr9,120599461,120600072,SE,1.1988,0.8234,7.5364,3.8518,4.0934,5.160533333,0.6632,2.6532,6.6343,108.7307,0.5208,0.1198,1.2481,0.8514,0.8223,0.4432,0,2.8798,2.6175,0.4024,3.8775,2.4202,0.6477,1.2243,1.2568,1.1478,0.8987,2.1262,1.5777,0.7329,2.6379,0.769,0.9169,0.1988,0.4827,0.2699,0.5174,0.0198,0,1.3596,1.4387,0.484452,0.515548,0.0185904,0.018592,0.0185912,0.5636,1.2387,3.3838,1.0255,1.5182,2.9092,0.4719,0,0,1.0972,4.855,0.5791,0.1755,0.1085,0.2904,3.5093,3.0817,0.669,0.7333,1.1935,0,0.7491
INT_STITCHED_4802_0,chr9,121244501,121245191,SE,14.921,2.0746,1.0186,2.7438,0.9239,1.5621,0.546,4.4914,1.4928,2.5972,1.1274,2.2903,4.8063,2.6249,0.7146,0.5262,0,4.9345,11.5569,0.9443,3.6256,3.773,1.6229,4.3496,0.7917,1.1502,1.9378,1.1569,1.9735,0.7242,1.9063,0.2743,0.7693,0.0975,0.2309,1.9851,0,0.3613,0.3704,2.9287,2.2439,0.481159,0.518841,0.0579942,0.0579942,0.0579942,1.2451,1.326,0.7531,0.6717,1.1758,0.513,0.658,0,0.4651,1.1076,0.849,0.887,0.6554,0.5454,0.3072,0.4175,0.666,0.6687,0.2135,0.2363,0.8291,0.2835
INT_STITCHED_4802_1,chr9,121246556,121247300,SE,1.0263,0.1231,0.7154,2.7074,1.9831,1.801966667,0.0216,1.5326,0.4027,3.9482,0.3014,1.7678,1.0131,3.3043,2.9407,0.1732,0.4335,1.8855,4.1911,0.6236,2.7112,1.7078,1.6864,1.6818,0.6649,0.5388,1.2308,1.1861,0.7605,0.3616,1.8181,0.1472,0,0.1473,0.2983,0.5582,0,0.03,0,0.9164,0.991,0.494624,0.505376,0.266969,0.266971,0.26697,1.3031,0.0126,0.8358,0,1.5018,0.6655,0.6003,0,0.4261,0.8631,0.1257,0.139,0.7637,0.2088,0.4711,0,0.0636,0.0895,0.7905,0.1899,0,0.1548
INT_STITCHED_4802_2,chr9,121253431,121254102,SE,0.4464,1.1758,0.7203,1.2599,1.821,1.267066667,0.5952,1.3326,0.664,0.3164,8.3765,0.8742,1.4178,1.8436,1.1404,0.1561,0,1.7728,0.8263,0.7089,3.7854,1.3054,0.8885,1.9756,0.6725,0.5262,0.9785,0.9034,0.9596,0.9562,1.045,0,0.0333,0.2264,0.1447,0.2727,0,0.0037,0,1.8165,1.0879,0.512668,0.487332,0.0662405,0.0662415,0.066241,0.5577,0.4418,0.9659,0.4479,1.1496,0.2205,0.5878,0,0.4237,0.6445,0.4428,0.4874,0.1634,0.3242,0.2395,0.3098,0.315,0.2492,0,0.3049,0,0.1532
